Data from filtre430_USB4F104151__8__11-51-40-600.txt Node

Date: Wed Apr 15 11:51:40 EDT 2026
User: LaboPhy
Spectrometer: USB4F10415
Trigger mode: 4
Integration Time (sec): 2,500000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
178,204	-104,28
178,424	-104,28
178,644	-104,28
178,864	-128,85
179,084	-171,86
179,304	-1,88
179,524	-40,79
179,744	-22,36
179,964	63,66
180,184	4,27
180,404	6,31
180,624	16,55
180,844	-1,88
181,064	-57,17
181,283	-16,21
181,503	43,18
181,723	6,31
181,943	18,6
182,163	-24,4
182,383	26,79
182,602	84,14
182,822	45,23
183,042	14,51
183,262	-51,03
183,482	63,66
183,701	-69,46
183,921	16,55
184,141	51,37
184,361	53,42
184,58	121
184,8	10,41
185,02	8,36
185,239	45,23
185,459	16,55
185,679	-32,6
185,898	-71,51
186,118	71,85
186,338	59,56
186,557	55,47
186,777	16,55
186,997	-16,21
187,216	20,65
187,436	116,9
187,655	57,51
187,875	18,6
188,095	-24,4
188,314	80,04
188,534	112,81
188,753	39,08
188,973	-32,6
189,192	49,32
189,412	123,05
189,631	41,13
189,851	-8,02
190,07	84,14
190,29	32,94
190,509	39,08
190,729	-5,97
190,948	39,08
191,168	90,28
191,387	51,37
191,607	-12,12
191,826	-1,88
192,045	8,36
192,265	6,31
192,484	41,13
192,704	39,08
192,923	-8,02
193,142	96,43
193,362	14,51
193,581	51,37
193,8	98,47
194,02	63,66
194,239	-12,12
194,458	24,75
194,678	-28,5
194,897	108,71
195,116	30,89
195,335	71,85
195,555	80,04
195,774	-46,93
195,993	24,75
196,212	-10,07
196,432	-20,31
196,651	-14,17
196,87	18,6
197,089	34,99
197,308	39,08
197,528	6,31
197,747	22,7
197,966	24,75
198,185	57,51
198,404	100,52
198,623	51,37
198,842	-22,36
199,062	-1,88
199,281	90,28
199,5	-8,02
199,719	71,85
199,938	90,28
200,157	34,99
200,376	55,47
200,595	39,08
200,814	20,65
201,033	-8,02
201,252	18,6
201,471	6,31
201,69	51,37
201,909	55,47
202,128	69,8
202,347	6,31
202,566	-5,97
202,785	55,47
203,004	-28,5
203,223	161,96
203,442	0,17
203,661	-14,17
203,879	32,94
204,098	41,13
204,317	53,42
204,536	43,18
204,755	41,13
204,974	-46,93
205,193	73,9
205,411	26,79
205,63	-42,84
205,849	49,32
206,068	8,36
206,287	65,71
206,505	26,79
206,724	53,42
206,943	-10,07
207,162	34,99
207,381	73,9
207,599	16,55
207,818	22,7
208,037	6,31
208,255	34,99
208,474	22,7
208,693	77,99
208,911	-22,36
209,13	67,75
209,349	41,13
209,567	-18,26
209,786	63,66
210,005	59,56
210,223	51,37
210,442	4,27
210,661	-20,31
210,879	28,84
211,098	6,31
211,316	55,47
211,535	100,52
211,753	67,75
211,972	67,75
212,191	-24,4
212,409	47,27
212,628	34,99
212,846	16,55
213,065	43,18
213,283	73,9
213,502	51,37
213,72	47,27
213,938	39,08
214,157	73,9
214,375	14,51
214,594	10,41
214,812	34,99
215,031	-5,97
215,249	0,17
215,467	28,84
215,686	2,22
215,904	49,32
216,122	28,84
216,341	59,56
216,559	12,46
216,778	102,57
216,996	73,9
217,214	-34,64
217,432	47,27
217,651	-32,6
217,869	16,55
218,087	-57,17
218,306	88,23
218,524	90,28
218,742	75,95
218,96	28,84
219,179	-34,64
219,397	-28,5
219,615	75,95
219,833	55,47
220,051	-18,26
220,27	51,37
220,488	28,84
220,706	18,6
220,924	6,31
221,142	8,36
221,36	47,27
221,578	-26,45
221,796	4,27
222,015	82,09
222,233	-1,88
222,451	14,51
222,669	16,55
222,887	108,71
223,105	34,99
223,323	30,89
223,541	53,42
223,759	80,04
223,977	-46,93
224,195	47,27
224,413	82,09
224,631	47,27
224,849	0,17
225,067	34,99
225,285	6,31
225,503	12,46
225,721	14,51
225,939	-18,26
